number of points, dim, version, break interval, time
2000, 200, naive break, 34, 235.033752
2000, 200, naive break, 35, 234.853561
2000, 200, naive break, 36, 235.709122
2000, 200, naive break, 37, 233.881821
2000, 200, naive break, 38, 235.084961
2000, 200, naive break, 39, 233.584961
2000, 200, naive break, 40, 233.797607
2000, 200, naive break, 41, 233.607391
2000, 200, naive break, 42, 233.832764
2000, 200, naive break, 43, 233.827362
2000, 200, naive break, 44, 234.055878
2000, 200, naive break, 45, 233.914658
2000, 200, naive break, 46, 234.100067
2000, 200, naive break, 47, 233.894272
2000, 200, naive break, 48, 234.075714
2000, 200, naive break, 49, 233.659897
2000, 200, naive break, 50, 235.113632
2000, 200, naive, 0, 233.977081
2000, 200, naive break, 1, 233.498016
2000, 200, naive break, 2, 233.761765
2000, 200, naive break, 3, 233.395554
2000, 200, naive break, 4, 233.492996
2000, 200, naive break, 5, 233.207779
2000, 200, naive break, 6, 233.448486
2000, 200, naive break, 7, 233.275879
2000, 200, naive break, 8, 233.320282
2000, 200, naive break, 9, 233.230591
2000, 200, naive break, 10, 233.696732
2000, 200, naive break, 11, 233.190491
2000, 200, naive break, 12, 233.319366
2000, 200, naive break, 13, 233.222305
2000, 200, naive break, 14, 233.491745
2000, 200, naive break, 15, 233.160538
2000, 200, naive break, 16, 233.605408
2000, 200, naive break, 17, 233.136154
2000, 200, naive break, 18, 233.440094
2000, 200, naive break, 19, 233.175644
2000, 200, naive break, 20, 233.418015
2000, 200, naive break, 21, 233.177414
2000, 200, naive break, 22, 233.464218
2000, 200, naive break, 23, 233.143494
2000, 200, naive break, 24, 233.393860
2000, 200, naive break, 25, 233.198715
2000, 200, naive break, 26, 234.013916
2000, 200, naive break, 27, 233.719330
2000, 200, naive break, 28, 233.976440
2000, 200, naive break, 29, 233.581253
2000, 200, naive break, 30, 233.874298
2000, 200, naive break, 31, 233.510498
2000, 200, naive break, 32, 233.739609
2000, 200, naive break, 33, 233.566238
2000, 200, naive break, 34, 233.876007
2000, 200, naive break, 35, 233.632126
2000, 200, naive break, 36, 233.907867
2000, 200, naive break, 37, 233.545822
2000, 200, naive break, 38, 233.849350
2000, 200, naive break, 39, 233.656418
2000, 200, naive break, 40, 233.767548
2000, 200, naive break, 41, 233.461884
2000, 200, naive break, 42, 233.771973
2000, 200, naive break, 43, 233.545792
2000, 200, naive break, 44, 233.737411
2000, 200, naive break, 45, 233.618759
2000, 200, naive break, 46, 233.851196
2000, 200, naive break, 47, 233.568253
2000, 200, naive break, 48, 233.839233
2000, 200, naive break, 49, 233.563675
2000, 200, naive break, 50, 233.748383
