number of points, dim, chunkSize, time
128, 4096, 32, 0.520864
128, 4096, 64, 0.519840
128, 4096, 128, 0.521152
128, 4096, 256, 0.520192
128, 4096, 512, 0.520960
128, 4096, 1024, 0.521344
128, 4096, 2048, 0.519392
128, 4096, 4096, 0.520544
128, 4096, 8192, 0.519328
128, 8192, 32, 0.841216
128, 8192, 64, 0.840000
128, 8192, 128, 0.841440
128, 8192, 256, 0.844416
128, 8192, 512, 0.843264
128, 8192, 1024, 0.840064
128, 8192, 2048, 0.840576
128, 8192, 4096, 0.841664
128, 8192, 8192, 0.844096
128, 16384, 32, 1.147936
128, 16384, 64, 1.147616
128, 16384, 128, 1.145984
128, 16384, 256, 1.147072
128, 16384, 512, 1.147488
128, 16384, 1024, 1.146944
128, 16384, 2048, 1.146848
128, 16384, 4096, 1.145248
128, 16384, 8192, 1.143968
128, 32768, 32, 4.401408
128, 32768, 64, 4.398720
128, 32768, 128, 4.399104
128, 32768, 256, 4.398784
128, 32768, 512, 5.065728
128, 32768, 1024, 4.401184
128, 32768, 2048, 4.398272
128, 32768, 4096, 4.400992
128, 32768, 8192, 4.813856
256, 32, 4096, 28.366400
256, 32, 8192, 28.804064
256, 64, 2048, 7.645152
256, 64, 4096, 8.222016
256, 64, 8192, 7.642176
256, 128, 1024, 1.923712
256, 128, 2048, 1.922336
256, 128, 4096, 1.922496
256, 128, 8192, 1.922048
256, 256, 512, 0.526656
256, 256, 1024, 0.526368
256, 256, 2048, 0.526176
256, 256, 4096, 0.532096
256, 256, 8192, 0.526112
256, 512, 256, 0.211648
256, 512, 512, 0.209440
256, 512, 1024, 0.207712
256, 512, 2048, 0.209440
256, 512, 4096, 0.207552
256, 512, 8192, 0.209152
256, 1024, 128, 1.023872
256, 1024, 256, 1.022656
256, 1024, 512, 1.023776
256, 1024, 1024, 1.022848
256, 1024, 2048, 1.022080
256, 1024, 4096, 1.021280
256, 1024, 8192, 1.023680
256, 2048, 64, 1.021728
256, 2048, 128, 1.011392
256, 2048, 256, 1.007392
256, 2048, 512, 1.011008
256, 2048, 1024, 1.057408
256, 2048, 2048, 1.009856
256, 2048, 4096, 1.003712
256, 2048, 8192, 1.026272
256, 4096, 32, 1.918240
256, 4096, 64, 1.580000
256, 4096, 128, 1.580832
256, 4096, 256, 1.580096
256, 4096, 512, 1.579904
256, 4096, 1024, 1.579872
